1	Admitted	am, "Communication Book Update"
2	Admitted	replies of Ms Reese in the same chain
3	Admitted	emails of 4 and 8 September 2023 September 2023
4	Admitted	August 2023 at 1:43 pm and the email of Ms Reese to Ms Taylor of 7 August 2023 at 5:11 pm
5	Disputed	FTE" 2023, 1:52 pm
6	Disputed	WorkCover Queensland on 29 August 2024
7	Admitted	Appellant to Ms Reese of 1 May 2024 at 1:18 pm; and Ms Reese to the Appellant of 8 May 2024 at 9:08 am
8	Admitted	On Call Manager PP24 13/5/24 - 26/5/24" pm Tab Document Date Authenticity admitted / disputed
9	Admitted	Directives" pm
10	Admitted	pm forwarding it
11	Admitted	Ms Taylor on 1 July 2025
12	Admitted	Appellant
13	Admitted	12:33 pm
14	Admitted	10 July 2025
15	Admitted	Health as Item 11 of the notice of non-party disclosure May 2024
16	Admitted	Health as Item 15 of the notice of non-party disclosure
17	Disputed	approved by Mr S Hughes as delegate
18	Disputed	
19	Disputed	
20	Disputed	reference K-LM26/729, signed by Ms N Cridland, Chief Executive
21	Disputed	Appellant
22	Disputed	Hospital
23	Disputed	Logan Hospital
24	Disputed	Delegates"
25	Admitted	
26	Admitted	the response at Tab 27 was given February 2026
27	Admitted	Appeals Officer Tab Document Date Authenticity admitted / disputed
28	Admitted	by Metro South Health as Item 11 of the notice of non-party disclosure March 2024
29	Admitted	produced as Item 13
30	Disputed	Stibbard, "Good morning Team.", extracted from the same compilation am
31	Disputed	2024 Signature: Print name: Cory Lea Shepherd Title of office held: Appellant (self-represented) Date: 28 / 08 / 2026
32	Admitted	additional night shifts. (Annexure A, Tab 4)
33	Admitted	with full 24-hour availability." (Annexure A, Tab 3)
34	Admitted	
35	Admitted	
36	Admitted	applied for the additional shifts through the recent EOI." (Annexure A, Tab 3)
37	Admitted	application for Permanent Fulltime hours, I am very pleased to advise you that this has been approved." (Annexure A, Tab 5)
38	Admitted	(Annexure A, Tab 5)
39	Admitted	temporary position that predominantly focuses on fixing up the database that switchboard utilises." (Annexure A, Tab 1A)
40	Admitted	everyone's access to the database." (Annexure A, Tab 1A)
41	Admitted	8:00 - 16:00". (Annexure A, Tab 1A)
42	Admitted	via email or extension". (Annexure A, Tab 1A)
43	Admitted	urgent, it was to be sent to Ms Taylor. (Annexure A, Tab 1A)
44	Admitted	holiday)" would "have to wait until either Chloe or myself are back". (Annexure A, Tab 1A)
45	Admitted	as I would prefer, for now, to be sent all changes to my email." (Annexure A, Tab 1A)
46	Admitted	her role." (Annexure A, Tab 25)
47	Admitted	position that focused on fixing the database used by the switchboard." (Annexure A, Tab 25)
48	Admitted	contact her or Ms Taylor." (Annexure A, Tab 25)
49	Admitted	Switchboard". (Annexure A, Tab 6)
50	Admitted	through switch/office or mobile unless otherwise advised." (Annexure A, Tab 6)
51	Admitted	
52	Admitted	that are highlighted in purple show who is on call after hours." (Annexure A, Tab 6)
53	Admitted	
54	Admitted	followed which included more checks to ensure accuracy of data entry." (Annexure A, Tab 25)
55	Admitted	was restored to the Appellant at any time before 18 June 2024
56	Admitted	which states: "I've been requested to email you with the list of switchboard issues from yesterday and today". (Annexure A, Tab 8B)
57	Admitted	2024 at 10:00 am, 10:22 am, 11:43 am and 14:46. (Annexure A, Tab 8B)
58	Admitted	was. Had to be redirected by MASPER". (Annexure A, Tab 8B)
59	Admitted	the switchboard issues 5th May to 8th of May". (Annexure A, Tab 8B)
60	Admitted	May 2024 at 8:53 am and 9:59 am. (Annexure A, Tab 8B)
61	Admitted	through to MASPER" on each occasion. (Annexure A, Tab 8B)
62	Admitted	May 2024
63	Admitted	email of Vivian Kwok of 3 May 2024 at 3:06 pm
64	Admitted	Taylor of 9 May 2024 at 9:20 am is five days, eighteen hours and fourteen minutes
65	Admitted	reference, it is not provided on the rosters. I have noticed your dect phone number #5997 is currently switched off." (Annexure A, Tab 8B)
66	Admitted	this can I please ask that all calls that switch transfer to the MASPER phone #5223 are being introduced." (Annexure A, Tab 8B)
67	Admitted	and the medical department about calls being transferred to the wrong medical teams." (Annexure A, Tab 8B)
68	Admitted	on-call arrangement notified by Ms Taylor on 15 April 2024 was in force
69	Admitted	the Switchboard staff concerning the occasions reported by Vivian Kwok at any time after 3 May 2024 and before 10:15 am on 9 May 2024
70	Admitted	to 5:00 pm". (Annexure A, Tab 25)
71	Admitted	states: "I am fulltime and work flex hours - You may have noticed recently I am starting at different times in the morning and finish at different times in the afternoon." (Annexure A, Tab 30)
72	Admitted	(Annexure A, Tab 30)
73	Admitted	Switchboard staff at any time between 23 August 2023 and 17 May 2024
